energia
190.00
366.29
262.38
292.27
347.47
329.25
251.88
231.28
273.17
297.49
322.76
336.44
351.92
247.33
259.69
329.81
308.54
369.88
276.43
266.77
297.79
348.42
299.61
261.25
364.15
298.58
287.93
318.25
353.66
280.12
326.59
294.45
307.62
249.01
334.68
284.06
298.47
252.37
356.77
303.28
317.72
196.31
233.84
312.16
241.18
340.05
299.53
236.25
325.14
271.53
